Bedrooms,Bathrooms,SqftLiving,HouseAge,Garage,Floors,Neighborhood,DistanceToCity,Price
1,1,500,56,0,3,0,26.6,50000
4,4,1497,17,2,1,0,32.5,223000
4,3,1615,38,1,2,1,44.0,202000
4,3,1664,25,2,1,1,21.1,265000
4,3,1402,32,0,2,0,21.5,168000
2,2,944,15,1,1,1,26.8,138000
3,2,1217,13,2,1,2,1.9,300000
2,1,500,58,1,2,1,25.3,50000
5,5,1814,26,1,2,1,15.3,324000
4,4,1499,50,0,2,0,46.5,122000
3,2,1185,11,0,1,3,5.3,324000
2,2,1177,13,1,2,1,23.5,236000
3,3,1247,33,1,3,3,47.4,313000
3,2,1031,50,1,3,3,45.2,192000
4,3,1644,37,1,2,2,35.4,257000
4,4,1529,38,0,2,0,29.9,189000
5,4,2064,1,2,1,1,14.8,401000
3,3,1316,39,2,1,0,19.0,184000
2,2,1041,27,0,1,2,5.4,232000
4,4,1595,36,1,2,2,39.5,269000
4,3,1927,32,0,2,3,16.9,384000
3,3,1381,41,2,2,2,33.7,255000
4,4,1458,15,2,1,1,18.5,281000
3,2,1641,31,2,2,1,23.8,275000
3,2,1265,6,1,1,1,28.2,183000
3,3,1032,25,1,2,1,40.3,175000
1,1,730,49,0,1,2,11.3,84000
2,2,1215,52,1,2,3,20.5,255000
1,1,500,18,1,2,1,7.4,117000
4,3,1499,22,0,1,2,4.7,285000
3,2,1165,31,2,1,2,30.6,179000
3,3,1342,36,1,2,1,10.3,210000
5,5,2255,9,2,1,1,3.9,440000
2,2,914,46,1,2,2,45.0,114000
3,3,1220,3,2,2,1,27.2,227000
4,4,1899,33,2,1,0,7.6,310000
2,1,737,27,2,2,1,3.6,144000
2,1,1006,43,2,3,3,6.9,294000
3,2,1142,1,2,2,0,24.1,168000
2,1,886,44,1,3,2,33.8,123000
5,4,1977,57,0,1,2,32.4,273000
4,3,1588,9,1,2,2,8.1,376000
4,4,1524,5,2,2,1,32.0,264000
5,4,2268,15,2,3,2,20.8,462000
4,3,1453,50,1,1,1,23.8,176000
2,1,651,9,1,1,0,40.3,50000
5,4,2424,45,1,1,3,17.3,460000
3,3,1395,28,2,3,1,8.2,322000
4,4,1122,13,0,2,2,43.8,209000
5,4,1886,24,1,3,1,11.4,365000
3,3,837,45,1,1,0,15.4,81000
2,1,609,59,0,1,3,35.6,92000
2,1,500,10,0,1,2,34.5,135000
3,2,1172,42,1,2,0,40.2,63000
4,3,1371,22,2,2,3,10.0,356000
5,5,2011,39,0,1,2,18.3,366000
1,1,500,22,1,3,1,7.2,160000
3,2,1216,37,2,1,2,27.5,238000
3,2,1117,52,2,2,0,15.3,95000
2,1,1100,39,2,2,1,34.8,120000
2,2,1082,20,1,1,0,1.0,182000
3,3,1357,10,2,1,1,3.9,322000
5,4,1934,10,0,1,1,22.2,325000
3,3,1597,26,2,1,2,48.0,245000
3,2,889,25,1,3,2,44.7,206000
4,4,1319,53,1,3,1,49.7,153000
3,2,1183,56,1,2,2,21.4,186000
6,5,2850,28,0,2,1,3.3,456000
6,5,2359,13,2,1,2,16.0,456000
3,3,1163,15,1,1,0,34.1,191000
3,2,911,6,1,2,2,7.6,296000
3,2,1389,52,0,2,3,15.7,262000
3,2,1390,12,1,2,2,3.8,359000
1,1,557,19,2,2,3,24.3,220000
4,3,1474,32,2,2,1,11.2,284000
3,2,1058,11,2,1,2,5.5,273000
2,1,541,38,1,2,1,21.1,68000
3,3,1216,33,0,2,0,18.2,139000
5,5,1783,2,1,2,2,27.3,352000
2,2,564,55,1,2,2,37.7,75000
2,1,715,15,0,1,1,6.5,138000
3,2,1102,36,2,1,0,39.8,113000
6,5,2292,5,1,2,0,2.3,394000
2,2,893,15,0,2,1,22.7,165000
4,4,1615,43,1,2,0,29.8,144000
4,3,1542,10,1,2,0,47.9,201000
2,1,836,17,2,2,1,29.1,127000
4,4,1401,34,1,1,3,8.8,357000
3,2,1221,52,1,1,2,26.4,197000
4,4,1630,24,0,1,1,20.4,263000
4,4,1299,10,2,1,3,24.5,360000
3,2,1399,52,2,2,2,10.7,242000
2,2,623,30,1,1,1,25.5,76000
4,3,1618,3,0,1,1,8.4,321000
3,3,1432,51,1,1,1,37.5,143000
2,2,985,37,1,1,1,30.1,115000
1,1,500,3,2,3,1,4.8,146000
3,2,1127,40,2,1,1,44.6,141000
4,3,1789,5,2,2,1,31.2,286000
1,1,534,28,0,1,2,16.5,137000
3,3,1076,44,2,2,1,3.2,195000
2,2,641,14,1,3,2,32.0,197000
4,3,1185,39,2,2,1,19.3,213000
2,1,830,11,1,2,3,45.5,194000
4,3,1583,8,1,1,1,2.7,348000
3,3,1427,37,1,1,3,2.9,344000
5,4,2071,8,0,1,2,47.5,332000
2,1,1066,12,1,1,2,48.3,185000
3,3,1060,15,2,1,2,2.4,270000
2,1,1027,19,0,1,0,36.1,50000
5,5,1894,48,0,2,3,11.9,425000
5,4,2155,46,0,2,0,35.4,210000
3,2,908,28,1,1,1,43.6,120000
4,3,1647,7,2,1,1,5.9,334000
4,3,1203,40,0,2,1,12.7,174000
3,3,1146,7,0,2,2,2.2,315000
3,2,1288,30,2,1,3,3.1,333000
2,2,695,18,2,1,1,2.5,160000
2,2,589,24,0,2,3,40.2,143000
5,4,2169,6,2,1,1,15.6,363000
5,4,1979,58,1,3,0,25.2,241000
4,3,1502,51,2,1,0,39.6,114000
3,3,1208,4,1,1,2,25.3,273000
3,2,1727,55,2,2,0,22.0,175000
4,3,1830,3,0,3,1,1.6,341000
5,5,2232,49,1,2,0,28.8,241000
5,5,2087,54,1,1,1,7.1,381000
4,4,1633,51,1,1,2,38.5,247000
4,4,1120,59,2,2,1,13.6,235000
2,1,664,47,1,1,0,34.0,50000
2,1,703,58,0,2,1,32.7,50000
5,4,1625,6,1,2,1,31.2,300000
4,3,1368,26,1,1,0,14.1,193000
1,1,500,44,2,1,1,14.1,113000
2,1,792,51,1,2,2,43.3,112000
4,3,1763,38,1,2,0,1.6,238000
1,1,621,11,2,2,1,9.9,165000
2,2,882,52,2,1,1,30.9,112000
3,2,1007,29,1,2,1,41.0,105000
4,4,1213,20,1,1,1,18.6,243000
4,4,1248,10,2,1,1,33.0,266000
2,1,546,26,2,2,1,28.3,81000
4,4,1422,48,2,2,2,4.2,306000
2,1,768,27,2,1,0,31.5,80000
3,2,997,50,2,2,2,40.9,154000
4,3,1667,14,2,2,1,49.6,228000
4,4,1553,36,2,1,1,2.5,315000
4,4,1602,59,0,3,2,33.3,259000
4,4,1828,12,1,2,1,21.3,326000
3,2,963,52,1,2,1,1.5,190000
2,2,883,59,1,2,2,31.1,154000
3,3,1197,23,2,2,2,7.0,303000
3,3,1133,21,2,2,3,19.5,365000
2,2,977,8,2,1,2,13.8,289000
6,5,2575,39,2,1,2,18.7,421000
3,2,1010,58,1,3,0,25.1,56000
5,5,1963,9,2,2,1,18.6,340000
4,3,1656,24,1,1,1,28.1,243000
4,3,1545,31,1,1,0,12.7,182000
3,2,1317,25,0,2,1,32.1,158000
3,2,1256,17,2,1,2,42.8,249000
3,2,1566,42,1,2,1,12.0,199000
2,1,500,29,2,1,2,25.9,135000
4,4,1575,3,1,2,1,32.8,286000
3,2,1018,21,1,1,1,28.7,155000
1,1,520,57,1,2,1,18.9,50000
4,4,1276,8,1,2,1,32.5,197000
2,2,869,14,2,2,1,2.4,202000
5,4,1873,58,0,1,2,19.1,328000
6,5,2253,39,2,1,0,27.1,282000
5,4,1710,16,2,1,0,2.0,339000
3,2,1106,18,2,2,2,25.9,224000
1,1,616,31,1,2,1,33.1,50000
5,4,1994,11,2,1,1,38.2,305000
3,2,1325,38,1,2,0,6.6,194000
6,5,2732,20,0,2,1,49.5,366000
6,5,2452,53,1,2,2,30.7,403000
5,4,1888,46,2,1,2,18.8,349000
3,3,1293,53,0,2,2,13.2,228000
3,2,1091,45,1,2,0,29.1,114000
5,4,1899,4,0,3,2,44.2,367000
3,3,896,20,1,1,1,26.5,137000
2,1,985,31,0,3,1,33.4,107000
3,2,1122,20,2,1,0,18.5,190000
5,5,2036,11,1,2,2,20.0,429000
4,3,1392,50,2,2,2,15.0,250000
3,2,1287,1,1,2,2,35.6,236000
2,1,647,44,2,2,2,18.6,170000
4,4,1571,18,1,1,1,10.3,310000
6,5,2575,39,1,3,1,19.1,397000
2,1,958,44,1,2,2,42.8,141000
3,3,1195,33,1,3,2,37.2,257000
5,4,1646,54,2,1,2,17.4,339000
4,3,2198,36,1,2,1,45.4,304000
4,4,1949,18,2,2,2,4.7,439000
4,3,1744,47,2,2,1,3.4,296000
3,2,1049,31,0,2,2,7.2,225000
3,3,1177,35,1,1,1,6.7,210000
4,4,1491,39,0,1,3,5.3,332000
4,4,1852,38,1,2,0,33.4,206000
5,5,2052,15,1,2,2,30.4,423000
5,4,1843,47,2,1,1,32.7,231000
3,2,1105,6,0,2,0,34.7,91000
3,3,1424,8,0,2,0,38.1,179000
4,4,1920,40,0,2,2,11.2,341000
4,4,1905,22,1,1,0,31.5,199000
4,3,1751,1,2,2,0,29.4,267000
4,4,1549,58,2,2,3,47.2,280000
5,4,1351,13,2,2,2,12.4,347000
3,2,1259,55,2,3,1,3.9,233000
3,3,1199,24,1,2,1,33.0,160000
2,1,827,21,0,1,1,37.3,81000
3,2,1210,45,0,1,2,14.9,202000
1,1,500,43,2,1,2,29.0,98000
3,2,1311,4,2,1,2,3.9,297000
3,3,1326,7,1,2,1,48.0,187000
3,3,1336,12,1,2,2,6.4,325000
3,2,1389,59,1,2,0,4.3,163000
1,1,520,13,2,1,0,3.2,134000
1,1,500,54,0,1,2,21.9,81000
4,4,1585,44,2,3,0,5.8,262000
3,3,1218,16,1,3,1,37.5,228000
2,1,821,6,0,1,2,45.0,131000
3,3,1399,14,2,2,1,13.8,310000
4,3,1728,51,1,1,0,31.8,183000
2,1,1215,48,2,1,2,3.1,227000
4,3,2041,59,2,1,3,19.9,413000
2,2,815,58,1,2,2,15.4,164000
2,1,500,31,2,1,1,12.2,151000
3,3,1447,36,1,1,1,32.6,196000
3,2,1091,37,1,1,0,7.4,122000
4,3,1439,41,2,1,2,43.2,217000
4,3,1520,56,1,2,1,33.6,177000
6,5,2310,35,0,1,2,35.8,360000
3,2,1322,54,2,3,1,46.8,167000
3,3,888,10,1,1,1,47.2,132000
4,3,1384,17,2,1,2,28.0,260000
3,2,1268,51,2,1,2,25.3,217000
3,3,1324,42,1,1,2,17.4,249000
2,1,928,30,1,1,3,36.1,188000
1,1,500,44,1,1,3,27.4,140000
6,5,2204,55,1,3,3,46.7,391000
4,3,1498,7,2,2,2,12.7,375000
4,3,1647,18,2,3,2,16.2,378000
3,3,1497,19,0,1,2,16.5,295000
2,1,500,15,1,2,0,40.5,50000
2,2,755,39,2,1,1,5.9,193000
3,2,933,44,1,2,0,23.3,51000
3,3,869,22,2,3,0,22.0,145000
4,4,1793,39,2,2,1,4.6,306000
4,3,1708,42,1,1,0,21.1,201000
3,2,1289,57,1,1,3,26.2,243000
6,5,2584,56,2,1,2,4.2,462000
4,3,1504,54,1,1,0,26.0,171000
3,3,1113,30,1,1,1,48.0,150000
4,4,2037,20,2,1,2,49.0,330000
3,2,1150,32,2,1,2,27.1,240000
2,1,947,42,1,2,3,26.2,242000
3,3,1201,25,0,2,3,15.0,329000
4,4,1230,23,1,2,3,49.9,276000
1,1,500,5,1,1,1,14.4,87000
2,2,684,50,1,1,1,23.2,82000
1,1,611,41,1,2,2,1.1,178000
1,1,557,30,0,2,1,18.1,60000
5,5,2182,48,1,1,2,4.5,406000
4,3,1402,39,1,3,1,37.4,196000
3,2,1523,57,1,1,2,28.5,241000
2,2,607,27,1,1,1,29.0,126000
3,2,1242,57,1,2,1,15.0,190000
3,2,1197,42,2,1,1,40.9,135000
2,2,765,37,0,2,3,1.2,267000
3,3,1467,7,1,1,1,17.3,279000
3,2,1058,5,2,1,3,33.3,289000
4,3,1330,15,1,3,2,45.5,301000
4,4,1603,51,2,1,2,12.5,296000
1,1,500,42,0,2,2,27.5,94000
3,2,1875,8,1,1,2,27.4,348000
4,3,1735,56,1,2,1,43.8,184000
3,2,1118,9,0,1,0,3.5,183000
5,4,1788,11,1,2,2,21.8,396000
4,4,1223,22,1,2,2,9.9,314000
2,1,594,34,1,1,1,2.1,129000
2,1,822,35,2,1,2,8.2,200000
4,3,1885,13,0,3,1,48.8,273000
1,1,624,11,1,3,0,11.5,96000
3,2,1245,32,1,2,1,46.8,135000
5,4,1935,42,1,2,1,11.1,320000
3,2,1253,59,2,2,0,46.6,90000
3,2,1096,15,1,1,1,33.1,131000
4,4,1943,38,0,2,1,6.5,295000
3,2,1162,1,2,2,0,29.5,222000
3,2,1182,46,2,2,1,16.6,193000
5,4,1556,50,1,1,1,19.8,227000
3,2,1160,24,1,2,0,22.6,157000
6,5,2567,43,0,2,0,21.7,312000
5,5,1786,40,1,2,0,33.5,180000
2,1,649,22,1,2,0,38.7,50000
2,2,958,3,1,3,2,17.1,247000
2,2,504,14,2,3,1,46.3,99000
1,1,611,2,1,2,0,47.0,50000
2,1,693,32,0,1,0,3.0,70000
4,3,1522,48,1,2,1,1.7,226000
2,1,575,38,1,3,2,21.8,142000
3,2,1275,33,1,1,1,29.9,176000
4,3,2091,46,1,2,0,14.6,228000
1,1,556,42,1,1,1,13.7,50000
4,3,1427,6,1,1,1,34.2,215000
3,3,1427,41,1,2,0,30.5,159000
2,2,736,39,0,2,2,9.2,131000
4,3,1874,25,0,2,1,44.3,253000
4,4,1761,34,1,3,0,34.3,225000
5,5,1411,11,0,1,2,18.8,320000
4,3,1399,46,1,1,2,34.5,193000
4,3,1788,37,2,3,2,6.5,358000
3,2,1230,41,2,2,1,23.9,202000
2,1,595,7,1,1,1,9.3,170000
4,3,1473,57,2,2,1,3.0,233000
4,3,1218,46,1,3,2,17.6,278000
6,5,2382,59,2,2,1,8.4,402000
3,2,1642,48,1,2,0,32.0,144000
3,2,1360,22,1,1,2,34.0,220000
4,3,2038,48,1,1,2,8.3,337000
3,2,1376,39,0,3,1,2.2,267000
5,5,2205,10,2,2,2,39.8,423000
5,5,2394,21,0,1,2,1.1,490000
3,2,1275,6,1,2,0,17.9,196000
4,4,1562,49,1,2,3,25.2,319000
4,3,1806,1,0,1,1,41.1,273000
2,2,1090,34,0,2,2,42.1,199000
5,4,1904,59,0,1,2,36.5,252000
3,2,1055,14,1,1,1,13.1,221000
4,4,1627,36,2,2,1,36.3,252000
3,3,1366,27,1,1,3,13.1,303000
5,4,2159,9,0,1,1,11.5,341000
3,2,915,55,1,3,1,27.8,106000
1,1,782,6,2,2,1,34.3,143000
5,5,1871,31,1,2,2,3.6,423000
2,1,746,17,1,1,3,3.9,228000
3,2,1019,53,2,1,1,39.4,115000
6,5,2939,43,0,2,2,43.1,428000
6,5,2448,36,1,1,1,30.6,362000
3,3,1029,21,1,2,3,22.0,305000
4,4,1772,27,2,2,1,42.4,302000
3,3,1353,41,2,2,0,36.7,144000
3,3,1162,28,2,1,0,29.4,112000
3,3,1368,16,1,1,0,16.7,188000
4,3,1434,35,1,3,0,10.7,228000
4,4,1501,36,1,3,2,21.5,326000
4,4,1197,56,2,2,1,15.1,223000
4,4,1335,35,2,2,3,17.6,342000
2,1,1161,45,1,2,2,26.3,155000
3,2,1528,19,1,1,2,9.3,321000
2,1,813,57,0,1,1,40.5,50000
3,2,1532,21,1,1,2,8.1,323000
3,2,1167,58,1,2,2,24.6,201000
5,5,1951,33,1,2,2,37.6,335000
3,2,1211,23,1,3,3,24.8,302000
2,1,775,55,0,2,0,18.7,50000
2,1,756,6,2,3,0,24.3,109000
4,4,1828,32,2,3,2,42.6,299000
4,3,1630,22,2,2,2,49.5,281000
2,2,942,3,2,1,1,31.9,176000
2,1,1006,35,1,1,1,39.9,119000
4,3,1677,16,1,2,2,1.7,361000
2,2,605,42,2,2,1,44.1,83000
4,3,1329,59,1,1,1,47.7,96000
4,4,1629,25,1,2,1,29.2,238000
2,1,765,17,1,3,1,37.9,107000
2,1,817,39,2,2,1,26.1,96000
6,5,2396,13,0,2,3,15.0,489000
3,3,1716,28,1,2,2,42.8,312000
3,2,933,11,1,1,3,30.2,249000
4,4,1202,10,2,1,2,29.4,337000
5,5,2066,39,1,2,1,33.3,288000
6,5,2324,24,1,2,2,42.9,366000
4,3,1663,38,1,2,3,36.9,348000
3,2,1316,24,2,3,3,11.3,343000
2,2,1056,33,2,1,2,23.9,212000
4,4,1298,17,1,2,1,49.0,170000
3,3,1088,57,1,2,0,28.2,83000
3,3,1285,44,2,1,0,47.0,67000
5,4,2154,36,1,1,3,40.9,384000
2,1,1238,35,2,3,1,33.6,157000
3,3,1391,6,1,1,2,18.1,311000
1,1,500,58,1,1,1,15.9,50000
3,3,1021,16,2,2,2,32.5,248000
2,1,687,45,0,1,0,22.2,50000
2,1,681,28,1,3,1,40.1,80000
2,1,931,41,1,1,1,38.3,68000
4,4,1651,32,2,2,2,16.3,357000
4,4,1335,26,1,1,0,35.4,153000
3,3,1112,11,1,2,2,25.2,260000
6,5,2575,52,2,2,1,16.8,413000
3,2,1270,25,1,1,2,21.2,225000
3,2,1313,31,0,3,0,44.9,128000
5,4,2076,21,0,1,2,18.6,373000
2,1,1125,45,2,2,1,15.1,168000
6,5,2447,55,0,3,2,18.2,412000
1,1,500,51,1,2,1,11.5,79000
6,5,2216,3,1,2,2,27.7,456000
1,1,500,12,2,1,3,8.2,235000
5,4,1511,51,2,1,0,41.1,180000
3,3,1163,40,1,1,0,12.1,76000
6,5,2358,46,0,3,2,30.3,416000
2,2,527,54,2,3,2,7.1,186000
3,2,1014,41,1,1,1,48.9,50000
6,5,2561,25,2,1,1,23.3,440000
3,3,1246,56,1,1,0,41.3,89000
4,3,1620,17,1,1,0,38.7,196000
4,4,1661,38,0,1,1,36.0,179000
3,2,1218,36,2,2,2,41.5,221000
4,3,1848,36,1,3,1,5.9,339000
3,2,1224,19,1,2,1,34.2,171000
5,4,1708,44,0,2,2,14.0,328000
1,1,726,57,0,2,1,39.5,50000
3,2,1274,2,0,2,2,47.9,240000
6,5,2282,17,1,2,2,45.2,395000
5,4,1749,30,2,1,1,6.6,318000
3,3,1279,47,1,1,1,19.1,179000
4,3,1576,10,2,2,3,18.9,378000
3,2,1514,35,0,3,3,7.0,340000
2,2,730,52,1,2,1,5.8,130000
3,2,1032,36,1,3,0,19.9,141000
3,3,1379,54,2,1,1,49.6,140000
3,2,1385,33,2,2,1,28.9,178000
2,1,833,1,1,3,1,31.5,186000
6,5,2535,18,2,2,2,24.1,516000
6,5,2392,4,0,3,2,33.5,454000
4,3,1646,55,1,2,1,47.9,157000
3,3,1432,54,0,1,2,29.8,191000
3,3,1325,47,1,1,0,4.2,161000
4,3,1566,27,1,2,0,25.2,206000
4,4,1870,25,2,3,1,49.6,272000
2,2,500,55,1,1,0,20.0,50000
5,4,2410,28,2,2,1,30.1,395000
4,4,1258,53,1,2,2,6.2,279000
5,5,1874,22,0,1,1,7.9,315000
4,3,1591,42,2,1,2,43.9,254000
4,4,1570,25,2,1,1,15.7,293000
3,2,1401,17,2,1,0,16.0,184000
5,4,1788,59,1,1,1,20.0,273000
5,4,2052,57,2,1,2,48.4,295000
1,1,500,54,2,1,1,5.1,74000
1,1,500,44,0,2,2,41.1,50000
3,2,1187,52,0,2,3,17.7,256000
4,3,1618,12,0,2,2,42.6,277000
6,5,2290,16,1,2,0,49.6,293000
2,1,697,37,1,3,2,18.1,186000
3,2,1257,16,2,3,1,7.3,242000
3,2,1388,17,1,3,2,8.1,293000
6,5,2280,55,2,1,1,38.2,328000
4,3,1426,31,1,3,0,8.1,270000
4,3,1722,15,1,2,1,13.8,327000
3,3,1193,13,0,1,1,11.0,259000
3,2,1366,40,1,1,1,18.4,181000
3,3,1018,27,2,2,2,4.6,270000
2,1,500,21,2,1,2,43.0,120000
5,5,1893,2,1,1,1,43.1,332000
4,3,1446,8,2,2,1,21.2,261000
6,5,2384,42,1,2,1,31.0,350000
6,5,2272,7,1,3,1,32.5,400000
3,2,1348,10,1,2,3,37.7,291000
4,4,1542,57,0,2,2,26.5,235000
5,5,2030,4,0,1,1,26.0,362000
4,4,1631,43,0,2,1,31.9,227000
2,1,838,41,1,2,2,35.4,147000
3,2,1195,36,2,3,2,18.0,268000
2,1,902,35,0,1,1,17.2,92000
6,5,2240,43,1,2,0,14.2,327000
4,3,1879,3,1,2,0,27.9,249000
2,1,752,58,2,2,1,18.6,88000
4,3,1337,18,2,3,1,27.5,236000
4,3,1637,58,2,1,0,20.9,163000
3,3,1029,51,1,2,2,42.0,160000
2,2,933,46,1,2,1,4.6,150000
4,4,2041,56,2,3,3,29.0,375000
3,3,1042,43,0,2,0,29.2,105000
4,4,1666,24,1,1,0,19.8,227000
3,3,848,32,0,1,1,21.6,120000
5,5,2090,34,1,2,0,40.2,233000
3,2,1022,59,1,2,3,14.8,200000
3,2,1075,2,1,1,0,43.7,107000
5,4,1779,2,1,1,1,44.9,256000
3,2,1346,10,0,2,3,32.9,313000
2,2,1001,23,2,3,1,38.9,158000
1,1,500,15,1,3,0,31.0,72000
4,4,1427,54,1,2,1,26.7,206000
4,3,1917,12,1,2,1,48.4,254000
4,4,1449,43,0,1,0,14.9,132000
2,1,500,17,0,2,1,8.6,132000
2,2,891,18,1,1,2,15.1,189000
1,1,500,14,1,2,2,31.1,124000
3,2,1397,17,1,3,0,10.1,248000
3,3,1123,15,2,3,0,45.5,153000
3,2,1320,12,1,2,1,21.1,239000
3,2,1480,59,1,2,1,42.6,156000
5,4,1758,16,1,3,1,13.2,362000
3,2,1086,32,2,1,2,16.3,269000
3,2,1184,23,0,2,2,3.9,256000
4,4,1907,38,2,1,0,13.6,257000
3,2,1068,34,1,3,2,25.0,202000
4,3,1481,34,0,1,0,47.4,109000
5,4,2095,16,1,1,1,20.1,348000
5,5,1884,34,1,2,0,32.3,210000
2,1,830,40,1,1,0,22.0,50000
5,4,1689,7,1,1,2,3.3,427000
3,2,1642,33,1,2,1,25.7,234000
3,2,930,4,1,2,0,4.2,194000
3,3,1135,43,1,1,3,44.3,216000
6,5,2393,52,2,2,1,37.9,304000
3,2,1582,7,2,2,0,19.6,236000
3,2,935,18,1,2,0,32.4,124000
4,3,1996,4,2,2,1,6.5,365000
2,2,951,49,0,1,3,35.4,185000
2,1,883,11,0,1,1,41.3,61000
2,1,603,43,1,1,3,41.3,129000
2,1,914,20,1,1,1,14.9,164000
2,1,655,11,1,1,1,13.9,131000
2,2,1053,15,1,1,1,26.5,215000
4,3,1405,46,0,2,2,48.4,181000
2,2,777,17,0,2,1,46.1,74000
3,2,1088,34,2,3,2,18.6,254000
5,5,1802,50,2,1,0,39.2,188000
3,2,1348,48,1,1,1,46.1,92000
4,4,1707,12,1,2,1,13.8,302000
2,1,1041,42,1,1,2,41.7,147000
2,1,500,28,1,2,1,14.1,97000
1,1,612,48,1,2,1,17.8,105000
2,2,1301,35,1,2,1,10.7,198000
3,3,1109,8,1,1,2,25.8,269000
2,2,1179,27,0,1,2,42.3,177000
2,1,747,22,2,2,2,26.9,172000
2,2,525,54,2,1,1,7.0,80000
3,2,1138,57,1,1,3,13.3,213000
2,1,1009,24,1,2,2,28.6,202000
3,2,1032,2,2,1,1,29.6,224000
3,2,1079,31,0,2,0,29.3,61000
4,3,1718,22,1,1,1,4.8,299000
1,1,500,1,1,1,1,37.9,64000
4,3,1716,14,1,1,2,45.6,298000
4,3,1647,25,2,1,2,26.0,310000
2,2,895,36,1,1,2,36.2,172000
5,4,1913,36,0,1,1,45.8,224000
5,4,2046,41,0,1,1,32.5,242000
2,1,614,3,0,1,1,34.0,80000
3,3,1457,5,1,2,0,36.3,182000
4,3,1473,1,2,2,2,13.8,376000
4,4,1825,54,1,1,0,29.6,176000
2,2,753,19,1,1,2,42.3,151000
2,1,840,33,1,2,2,15.5,167000
3,2,1101,42,1,2,2,45.0,156000
3,2,996,54,1,3,0,31.4,53000
4,4,1251,30,1,1,2,21.7,250000
3,2,988,12,1,2,3,31.5,296000
3,2,1135,10,1,2,2,20.7,249000
4,4,1642,34,1,2,2,42.1,270000
1,1,602,16,2,1,2,24.6,180000
3,3,1110,40,1,2,1,45.2,143000
4,3,1423,46,1,1,2,26.0,276000
5,4,1711,29,1,1,2,33.4,318000
3,3,1296,15,0,2,2,49.9,201000
3,3,1476,48,1,1,2,8.2,315000
2,2,1053,11,1,2,1,37.1,172000
3,3,1341,44,0,2,0,7.8,156000
3,2,1327,34,1,2,1,42.1,158000
2,1,1139,36,0,1,1,30.2,114000
